epsilon,sigma_analytic,kb_analytic,kb_root,error
0.5,0.9336043118720724,1.2632434797481495,0.0,1.0
0.47370085263157896,0.8379752139311176,1.328607783023055,0.0,1.0
0.4474017052631579,0.7475118991619886,1.3815306948756427,0.0,1.0
0.42110255789473683,0.6622143675646851,1.4243852118241203,0.0,1.0
0.3948034105263158,0.5820826191392078,1.4589657037670143,0.0,1.0
0.36850426315789475,0.5071166538855563,1.4866855079754615,0.0,1.0
0.34220511578947366,0.4373164718037305,1.5086932768994088,0.0,1.0
0.3159059684210526,0.37268207289373073,1.5259453374272525,0.0,1.0
0.2896068210526316,0.3132134571555567,1.539252555797457,1.5608048320835088,0.014001780412757549
0.26330767368421054,0.25891062458920855,1.5493115854298534,1.5624913763761126,0.008506869160603676
0.2370085263157895,0.20977357519468628,1.5567260990368148,1.5642605009918942,0.004839902125197936
0.2107093789473684,0.16580230897198972,1.5620213489616255,1.5659803950303965,0.0025345659144818313
0.18441023157894737,0.12699682592111913,1.5656541465081937,1.5675224237574379,0.0011932886029848563
0.15811108421052633,0.09335712604207436,1.5680196259261248,1.5687863197658776,0.0004889567879611028
0.13181193684210524,0.06488320933485538,1.569455723943415,1.5697154847894619,0.0001655101460232126
0.1055127894736842,0.041575075799462305,1.570246035927048,1.5703131572515816,4.2745737290744155e-05
0.07921364210526316,0.02343272543589506,1.5706215354600819,1.5706318480306063,6.5659169262548975e-06
0.05291449473684212,0.010456158244153661,1.5707615251931506,1.5707616035993315,4.991603093380641e-08
0.026615347368421083,0.0026453742242381014,1.57079409925921,1.5707944368571276,2.1492181424696972e-07
0.0003162,3.73376148381963e-07,1.5707963267948521,1.5707963267943932,2.9218695673712335e-13
