epsilon,sigma_analytic,s_analytic,s_root,error
0.5,1.3387714556850094,-0.25341288814434243,0.0,1.0
0.47370085263157896,1.2016410836117073,-0.15954953652532242,0.0,1.0
0.4474017052631579,1.071918349837366,-0.060323411076222716,0.0,1.0
0.42110255789473683,0.9496032543619848,0.044915611381929815,0.0,1.0
0.3948034105263158,0.8346957971855647,0.15694354645795106,0.0,1.0
0.36850426315789475,0.7271959783081055,0.2766970632119673,0.0,1.0
0.34220511578947366,0.6271037977296066,0.4053211382738332,0.0,1.0
0.3159059684210526,0.5344192554500686,0.5442358047137642,0.0,1.0
0.2896068210526316,0.44914235146949133,0.6952319832065799,0.0,1.0
0.26330767368421054,0.37127308578787477,0.8606130647443808,0.0,1.0
0.2370085263157895,0.3008114584052189,1.0434112495425818,1.448772192001343,0.38849585207794746
0.2107093789473684,0.23775746932152356,1.247731661006828,1.5734922409057617,0.2610822423437333
0.18441023157894737,0.1821111185367891,1.4793270763204727,1.731257104873657,0.17030042414947835
0.15811108421052633,0.13387240605101527,1.7466178621785422,1.9320767402648928,0.10618171387244907
0.13181193684210524,0.09304133186420209,2.0626481628289146,2.190433073043823,0.06195186969727882
0.1055127894736842,0.05961789597634969,2.449246710145359,2.529365348815918,0.03271154283424714
0.07921364210526316,0.03360209838745797,2.9472672017894634,2.990623760223389,0.014710766098031803
0.05291449473684212,0.014993939097526946,3.6481685150125855,3.6661478042602536,0.004928305579548038
0.026615347368421083,0.003793418106556612,4.841938574355472,4.8458360671997065,0.0008049447105497283
0.0003162,5.354145469669564e-07,12.542619666814971,12.54330658912659,5.476705264662444e-05
